benchmark,Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,tool
GPS_benchmark,39X,0,0,0,1,0,0,1,0,0,0,ALLCAPS
GPS_benchmark,4,64,0,0,61,64,1,1,1,0,1,ALLCAPS
GPS_benchmark,40,3,0,0,2,3,1,1,1,0,1,ALLCAPS
GPS_benchmark,42,0,0,0,1,0,0,1,0,0,0,ALLCAPS
GPS_benchmark,45,2,0,0,1,2,1,1,1,0,1,ALLCAPS
GPS_benchmark,46,6,0,0,7,6,1,1,1,0,1,ALLCAPS
GPS_benchmark,48,2,0,0,1,2,1,1,1,0,1,ALLCAPS
GPS_benchmark,5,68,0,0,65,68,1,1,1,0,1,ALLCAPS
GPS_benchmark,6A,131,1,0,116,131,1,0.9914529914529915,0.9924242424242424,0,0.9961977186311787,ALLCAPS
GPS_benchmark,6B,148,0,0,138,148,1,1,1,0,1,ALLCAPS
GPS_benchmark,6C,48,0,0,45,48,1,1,1,0,1,ALLCAPS
GPS_benchmark,6D,3,0,0,5,3,1,1,1,0,1,ALLCAPS
GPS_benchmark,6E,5,0,0,5,5,1,1,1,0,1,ALLCAPS
GPS_benchmark,7B,7,0,0,9,7,1,1,1,0,1,ALLCAPS
GPS_benchmark,7C,44,0,0,37,44,1,1,1,0,1,ALLCAPS
GPS_benchmark,7F,51,0,0,52,51,1,1,1,0,1,ALLCAPS
GPS_benchmark,8,357,1,0,328,357,1,0.9969604863221885,0.9972067039106145,0,0.9986013986013986,ALLCAPS
GPS_benchmark,9L,8,0,0,9,8,1,1,1,0,1,ALLCAPS
GPS_benchmark,9N,114,0,0,90,114,1,1,1,0,1,ALLCAPS
GPS_benchmark,9V,58,0,0,38,58,1,1,1,0,1,ALLCAPS
UK_benchmark,1,40,0,0,0,40,1,0,1,0,1,ALLCAPS
UK_benchmark,10A,42,0,0,0,42,1,0,1,0,1,ALLCAPS
UK_benchmark,10B,6,0,0,0,6,1,0,1,0,1,ALLCAPS
UK_benchmark,10F,11,0,0,0,11,1,0,1,0,1,ALLCAPS
UK_benchmark,11A,47,0,1,0,48,0.9791666666666666,0,1,0,0.9894736842105264,ALLCAPS
UK_benchmark,11B,2,0,0,0,2,1,0,1,0,1,ALLCAPS
UK_benchmark,12A,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,12B,10,0,0,0,10,1,0,1,0,1,ALLCAPS
UK_benchmark,12F,50,0,0,0,50,1,0,1,0,1,ALLCAPS
UK_benchmark,13,14,0,0,0,14,1,0,1,0,1,ALLCAPS
UK_benchmark,14,40,0,0,0,40,1,0,1,0,1,ALLCAPS
UK_benchmark,15A,200,0,0,0,200,1,0,1,0,1,ALLCAPS
UK_benchmark,15B,43,0,0,0,43,1,0,1,0,1,ALLCAPS
UK_benchmark,15B/C,11,0,0,0,11,1,0,1,0,1,ALLCAPS
UK_benchmark,15C,17,0,0,0,17,1,0,1,0,1,ALLCAPS
UK_benchmark,16F,25,0,0,0,25,1,0,1,0,1,ALLCAPS
UK_benchmark,17F,41,0,0,0,41,1,0,1,0,1,ALLCAPS
UK_benchmark,18A,6,0,0,0,6,1,0,1,0,1,ALLCAPS
UK_benchmark,18B,3,0,0,0,3,1,0,1,0,1,ALLCAPS
UK_benchmark,18C,39,0,0,0,39,1,0,1,0,1,ALLCAPS
UK_benchmark,18F,3,0,0,0,3,1,0,1,0,1,ALLCAPS
UK_benchmark,19A,245,0,1,0,246,0.9959349593495935,0,1,0,0.9979633401221996,ALLCAPS
UK_benchmark,19F,42,0,0,0,42,1,0,1,0,1,ALLCAPS
UK_benchmark,2,2,0,0,0,2,1,0,1,0,1,ALLCAPS
UK_benchmark,20,40,0,0,0,40,1,0,1,0,1,ALLCAPS
UK_benchmark,21,19,0,0,0,19,1,0,1,0,1,ALLCAPS
UK_benchmark,22A,2,0,0,0,2,1,0,1,0,1,ALLCAPS
UK_benchmark,22F,47,0,0,0,47,1,0,1,0,1,ALLCAPS
UK_benchmark,23A,24,0,0,0,24,1,0,1,0,1,ALLCAPS
UK_benchmark,23B,40,0,0,0,40,1,0,1,0,1,ALLCAPS
UK_benchmark,23F,29,0,0,0,29,1,0,1,0,1,ALLCAPS
UK_benchmark,24,4,0,0,0,4,1,0,1,0,1,ALLCAPS
UK_benchmark,24B,5,0,0,0,5,1,0,1,0,1,ALLCAPS
UK_benchmark,24F,25,0,0,0,25,1,0,1,0,1,ALLCAPS
UK_benchmark,25F,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,27,23,0,0,0,23,1,0,1,0,1,ALLCAPS
UK_benchmark,28A,7,0,0,0,7,1,0,1,0,1,ALLCAPS
UK_benchmark,29,8,0,0,0,8,1,0,1,0,1,ALLCAPS
UK_benchmark,3,46,0,0,0,46,1,0,1,0,1,ALLCAPS
UK_benchmark,31,23,0,0,0,23,1,0,1,0,1,ALLCAPS
UK_benchmark,33,2,0,0,0,2,1,0,1,0,1,ALLCAPS
UK_benchmark,33B,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,33C,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,33F,47,0,0,0,47,1,0,1,0,1,ALLCAPS
UK_benchmark,34,24,0,0,0,24,1,0,1,0,1,ALLCAPS
UK_benchmark,35A,5,0,0,0,5,1,0,1,0,1,ALLCAPS
UK_benchmark,35A/42?,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,35B,48,0,0,0,48,1,0,1,0,1,ALLCAPS
UK_benchmark,35C,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,35F,22,0,0,0,22,1,0,1,0,1,ALLCAPS
UK_benchmark,36,4,0,0,0,4,1,0,1,0,1,ALLCAPS
UK_benchmark,37,14,0,0,0,14,1,0,1,0,1,ALLCAPS
UK_benchmark,38,20,0,1,0,21,0.9523809523809523,0,1,0,0.975609756097561,ALLCAPS
UK_benchmark,39,2,0,0,0,2,1,0,1,0,1,ALLCAPS
UK_benchmark,4,44,0,0,0,44,1,0,1,0,1,ALLCAPS
UK_benchmark,41A,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,48,5,0,0,0,5,1,0,1,0,1,ALLCAPS
UK_benchmark,5,12,0,0,0,12,1,0,1,0,1,ALLCAPS
UK_benchmark,6A,41,0,0,0,41,1,0,1,0,1,ALLCAPS
UK_benchmark,6B,37,0,0,0,37,1,0,1,0,1,ALLCAPS
UK_benchmark,6C,24,0,0,0,24,1,0,1,0,1,ALLCAPS
UK_benchmark,6D,2,0,0,0,2,1,0,1,0,1,ALLCAPS
UK_benchmark,7A,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,7B,3,0,0,0,3,1,0,1,0,1,ALLCAPS
UK_benchmark,7C,10,0,0,0,10,1,0,1,0,1,ALLCAPS
UK_benchmark,7F,43,0,0,0,43,1,0,1,0,1,ALLCAPS
UK_benchmark,8,72,0,0,0,72,1,0,1,0,1,ALLCAPS
UK_benchmark,9,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,9L,1,0,0,0,1,1,0,1,0,1,ALLCAPS
UK_benchmark,9N,43,0,0,0,43,1,0,1,0,1,ALLCAPS
UK_benchmark,9V,47,0,0,0,47,1,0,1,0,1,ALLCAPS
