Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
1,110,884,0,3889,110,1,0.8147915357217683,0.11066398390342053,0.8189637517919311,0.1992753623188406,0.6790123456790124,10
10A,94,905,1,3889,95,0.9894736842105263,0.8112223612849395,0.0940940940940941,0.8146860298629577,0.17184643510054842,0.6343787217149662,10
10B,8,953,0,3960,8,1,0.80602483207816,0.008324661810613945,0.8063401747612274,0.01651186790505676,0.12488521579430671,10
10C,0,832,0,4139,0,0,0.8326292496479581,0,0.8326292496479581,0,0,10
10F,3,924,0,4032,3,1,0.8135593220338984,0.003236245954692557,0.8136721113127646,0.0064516129032258064,0.05230769230769231,10
10X,0,970,0,3949,0,0,0.8028054482618419,0,0.8028054482618419,0,0,10
11,1,944,4,4034,5,0.2,0.810365608678184,0.0010582010582010583,0.8097531607465382,0.0021052631578947372,0.016585365853658537,10
11A,22,975,6,3882,28,0.7857142857142857,0.7992588017294626,0.022066198595787363,0.7991811668372569,0.04292682926829268,0.2588235294117647,10
11B,2,875,0,4121,2,1,0.8248598879103283,0.002280501710376283,0.8249299719887955,0.004550625711035268,0.03740374037403741,10
11C,1,895,0,4064,1,1,0.819520064529139,0.0011160714285714285,0.8195564516129032,0.002229654403567447,0.01864035087719298,10
11D,0,866,0,4136,0,0,0.8268692522990804,0,0.8268692522990804,0,0,10
11E,1,847,0,3895,1,1,0.8213833825390131,0.0011792452830188679,0.8214210415348935,0.002355712603062426,0.019675925925925927,10
12A,0,870,0,4012,0,0,0.8217943465792708,0,0.8217943465792708,0,0,10
12B,2,918,1,4082,3,0.6666666666666666,0.8164,0.002173913043478261,0.816310213871677,0.004333694474539546,0.03512396694214876,10
12F,110,905,12,3781,122,0.9016393442622951,0.8068715322236449,0.10837438423645321,0.8092762063227953,0.19349164467897978,0.6302662622177283,10
13,29,879,0,4088,29,1,0.8230320112744112,0.031938325991189426,0.8240592473979184,0.061899679829242264,0.3593294460641399,10
14,104,819,3,3779,107,0.9719626168224299,0.8218790778599391,0.11267605633802817,0.8252922422954304,0.20194174757281555,0.6709677419354839,10
15A,51,850,0,3890,51,1,0.820675105485232,0.05660377358490566,0.8225840116885828,0.10714285714285715,0.504950495049505,10
15B,7,798,18,4076,25,0.28,0.8362741075092327,0.008695652173913044,0.833435394978567,0.016867469879518072,0.09875518672199171,10
15B-C,0,953,0,3972,0,0,0.806497461928934,0,0.806497461928934,0,0,10
15C,4,881,8,4016,12,0.3333333333333333,0.820093935062283,0.004519774011299435,0.8189040537787737,0.008918617614269788,0.06313834726090994,10
15F,2,909,1,4022,3,0.6666666666666666,0.815656053538836,0.0021953896816684962,0.8155654641264694,0.00437636761487965,0.035453597497393116,10
16F,49,847,0,3974,49,1,0.8243103090645094,0.0546875,0.8260780287474333,0.1037037037037037,0.49583333333333335,10
17A,0,1011,0,4068,0,0,0.8009450679267572,0,0.8009450679267572,0,0,10
17F,31,822,0,3862,31,1,0.8245089666951324,0.03634232121922626,0.8256627783669142,0.07013574660633484,0.39065974796145286,10
18A,5,862,0,3916,5,1,0.8195897865215571,0.0057670126874279125,0.8197783817687644,0.011467889908256881,0.0897571277719113,10
18B,1,811,0,4058,1,1,0.8334360238241939,0.0012315270935960591,0.8334702258726899,0.0024600246002460025,0.020531400966183572,10
18C,38,859,0,3919,38,1,0.820217664294684,0.042363433667781496,0.8216362126245847,0.08128342245989306,0.4292358803986711,10
18F,3,928,0,4008,3,1,0.8119935170178282,0.00322234156820623,0.8121077141121684,0.006423982869379015,0.05209397344228805,10
19A,247,864,0,3807,247,1,0.815028901734104,0.2223222322232223,0.824318828792192,0.3637702503681885,0.8293501876357889,10
19B,7,923,0,3929,7,1,0.8097691673536686,0.007526881720430108,0.8100432187692941,0.014941302027748132,0.11420345489443379,10
19F,98,741,1,3910,99,0.98989898989899,0.8406794237798323,0.11680572109654351,0.8437894736842105,0.208955223880597,0.6875773834089972,10
2,4,828,0,4143,4,1,0.8334339167169583,0.004807692307692308,0.8335678391959799,0.009569377990430623,0.07589285714285715,10
20,1,922,3,4027,4,0.25,0.8136997373206708,0.0010834236186348862,0.8132444982838684,0.002157497303128371,0.017223910840932118,10
20A,5,928,3,3971,8,0.625,0.8105735864462135,0.0053590568060021436,0.8102710413694721,0.010626992561105207,0.08011310084825637,10
20B,17,859,0,4116,17,1,0.8273366834170854,0.019406392694063926,0.8279246794871795,0.03807390817469205,0.25174216027874563,10
20C,0,978,0,3904,0,0,0.7996722654649734,0,0.7996722654649734,0,0,10
21,28,937,0,4093,28,1,0.8137176938369781,0.029015544041450778,0.8147489126136813,0.05639476334340383,0.33687190375088466,10
22A,2,882,0,4013,2,1,0.8198161389172625,0.0022624434389140274,0.819889728405146,0.004514672686230249,0.037117903930131,10
22F,168,941,0,3714,168,1,0.7978517722878625,0.151487826871055,0.8048932199875596,0.2631166797180892,0.7521727679747169,10
23A,53,830,1,3999,54,0.9814814814814815,0.8281217643404432,0.06002265005662514,0.829817734998976,0.11312700106723586,0.515741270749857,10
23B,69,824,11,3887,80,0.8625,0.8250902143918488,0.07726763717805152,0.825714882070549,0.1418293936279548,0.5398067188219053,10
23F,109,889,0,3896,109,1,0.8142110762800417,0.1092184368737475,0.818348998774009,0.1969286359530262,0.6757840991976659,10
24,0,888,0,4101,0,0,0.8220084185207457,0,0.8220084185207457,0,0,10
24A,0,914,1,3931,1,0,0.8113519091847265,0,0.8111844820470491,0,0,10
24F,5,892,30,3955,35,0.14285714285714285,0.8159686403961213,0.005574136008918618,0.8111429741909054,0.01072961373390558,0.058339052848318466,10
25A,1,1005,0,4036,1,1,0.8006347946835946,9.940357852882703e-4,0.8006743355811186,0.0019860973187686196,0.016634050880626222,10
25F,3,867,6,4080,9,0.3333333333333333,0.8247422680412371,0.0034482758620689655,0.8238498789346247,0.006825938566552901,0.05029585798816568,10
27,5,983,0,3948,5,1,0.800648955587102,0.005060728744939271,0.8008508914100486,0.010070493454179255,0.07958801498127341,10
28A,5,800,0,4106,5,1,0.8369343660823482,0.006211180124223602,0.8371003868865812,0.01234567901234568,0.09604519774011298,10
28F,3,831,3,3984,6,0.5,0.8274143302180685,0.0035971223021582736,0.8270068450528936,0.0071428571428571435,0.054838709677419356,10
29,6,860,0,4165,6,1,0.8288557213930349,0.006928406466512702,0.8290598290598291,0.013761467889908258,0.10602910602910603,10
3,22,826,0,3829,22,1,0.8225563909774436,0.025943396226415096,0.8233910626469959,0.05057471264367817,0.3116666666666667,10
31,21,903,0,3959,21,1,0.8142739613327848,0.022727272727272728,0.8150727012082736,0.044444444444444446,0.2833333333333333,10
32,0,849,0,3937,0,0,0.8226076055160886,0,0.8226076055160886,0,0,10
32F,0,880,0,4032,0,0,0.8208469055374593,0,0.8208469055374593,0,0,10
33,0,874,0,4031,0,0,0.8218144750254842,0,0.8218144750254842,0,0,10
