benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1
UK_benchmark,serotype_exact,ALLCAPS,15C,12,10,5,1811,17,0.7058823529411765,0.9945085118066996,0.5454545454545454,0.9918389553862894,0.6153846153846153
UK_benchmark,serotype_exact,ALLCAPS,24F,13,0,12,1813,25,0.52,1,1,0.9934711643090316,0.6842105263157895
UK_benchmark,serotype_exact,PfaSTer,15B,28,1,15,1794,43,0.6511627906976745,0.9994428969359332,0.9655172413793104,0.9912948857453754,0.7777777777777779
UK_benchmark,serotype_exact,PfaSTer,15C,15,13,2,1808,17,0.8823529411764706,0.9928610653487095,0.5357142857142857,0.9918389553862894,0.6666666666666667
UK_benchmark,serotype_exact,PfaSTer,24F,24,0,1,1813,25,0.96,1,1,0.999455930359086,0.979591836734694
UK_benchmark,serotype_exact,PneumoCaT,15B,9,5,34,1790,43,0.20930232558139536,0.9972144846796658,0.6428571428571429,0.9787812840043526,0.31578947368421056
UK_benchmark,serotype_exact,PneumoCaT,15C,7,27,10,1794,17,0.4117647058823529,0.985172981878089,0.2058823529411765,0.9798694232861808,0.2745098039215686
UK_benchmark,serotype_exact,PneumoCaT,24F,0,0,25,1813,25,0,1,0,0.9863982589771492,0
UK_benchmark,serotype_exact,PneumoKITy,15B,0,0,43,1795,43,0,1,0,0.9766050054406964,0
UK_benchmark,serotype_exact,PneumoKITy,15C,0,0,17,1821,17,0,1,0,0.9907508161044614,0
UK_benchmark,serotype_exact,PneumoKITy,24F,0,0,25,1813,25,0,1,0,0.9863982589771492,0
UK_benchmark,serotype_exact,Pneumo-Typer,15B,27,0,16,1795,43,0.627906976744186,1,1,0.9912948857453754,0.7714285714285715
UK_benchmark,serotype_exact,Pneumo-Typer,15C,3,7,14,1814,17,0.17647058823529413,0.9961559582646896,0.3,0.9885745375408052,0.22222222222222224
UK_benchmark,serotype_exact,Pneumo-Typer,24F,0,0,25,1813,25,0,1,0,0.9863982589771492,0
UK_benchmark,serotype_exact,SeroBA,15B,30,4,13,1791,43,0.6976744186046512,0.9977715877437324,0.8823529411764706,0.9907508161044614,0.7792207792207793
UK_benchmark,serotype_exact,SeroBA,15C,12,13,5,1808,17,0.7058823529411765,0.9928610653487095,0.48,0.9902067464635472,0.5714285714285713
UK_benchmark,serotype_exact,SeroBA,24F,0,0,25,1813,25,0,1,0,0.9863982589771492,0
UK_benchmark,serotype_exact,SeroCall,15B,0,0,43,1795,43,0,1,0,0.9766050054406964,0
UK_benchmark,serotype_exact,SeroCall,15C,0,0,17,1821,17,0,1,0,0.9907508161044614,0
UK_benchmark,serotype_exact,SeroCall,24F,0,0,25,1813,25,0,1,0,0.9863982589771492,0
