benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,f1
GPS_benchmark,serotype_exact,PfaSTer,15C,11,5,0,3852,11,1,0.9987036556909515,0.6875,0.8148148148148148
GPS_benchmark,serotype_exact,PfaSTer,15F,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,16F,78,0,2,3788,80,0.975,1,1,0.9873417721518987
GPS_benchmark,serotype_exact,PfaSTer,17F,62,0,0,3806,62,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,18A,9,0,0,3859,9,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,18B,2,1,0,3865,2,1,0.9997413347128815,0.6666666666666666,0.8
GPS_benchmark,serotype_exact,PfaSTer,18C,31,0,4,3833,35,0.8857142857142857,1,1,0.9393939393939393
GPS_benchmark,serotype_exact,PfaSTer,18F,2,0,0,3866,2,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,19A,126,0,7,3735,133,0.9473684210526315,1,1,0.972972972972973
GPS_benchmark,serotype_exact,PfaSTer,19B,0,0,6,3862,6,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,19F,223,0,7,3638,230,0.9695652173913043,1,1,0.9845474613686533
GPS_benchmark,serotype_exact,PfaSTer,2,1,0,0,3867,1,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,20,2,44,0,3822,2,1,0.9886187273667874,0.043478260869565216,0.08333333333333333
GPS_benchmark,serotype_exact,PfaSTer,20A,0,0,11,3857,11,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,20B,0,0,33,3835,33,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,21,44,0,0,3824,44,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,22A,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,22F,228,0,2,3638,230,0.991304347826087,1,1,0.9956331877729258
GPS_benchmark,serotype_exact,PfaSTer,23A,15,0,0,3853,15,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,23B,30,0,11,3827,41,0.7317073170731707,1,1,0.8450704225352113
GPS_benchmark,serotype_exact,PfaSTer,23F,81,2,1,3784,82,0.9878048780487805,0.9994717379820391,0.9759036144578314,0.9818181818181818
GPS_benchmark,serotype_exact,PfaSTer,24,0,0,16,3852,16,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,24A,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,24F,4,17,1,3846,5,0.8,0.9955992751747347,0.19047619047619047,0.3076923076923077
GPS_benchmark,serotype_exact,PfaSTer,25F,7,0,0,3861,7,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,27,3,0,0,3865,3,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,28A,6,4,1,3857,7,0.8571428571428571,0.998963998963999,0.6,0.7058823529411764
GPS_benchmark,serotype_exact,PfaSTer,28F,0,0,6,3862,6,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,29,5,0,0,3863,5,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,3,4,0,1,3863,5,0.8,1,1,0.888888888888889
GPS_benchmark,serotype_exact,PfaSTer,31,16,0,0,3852,16,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,33,0,0,9,3859,9,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,33B,3,0,1,3864,4,0.75,1,1,0.8571428571428571
GPS_benchmark,serotype_exact,PfaSTer,33D,0,0,9,3859,9,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,33F,78,9,0,3781,78,1,0.9976253298153034,0.896551724137931,0.9454545454545454
GPS_benchmark,serotype_exact,PfaSTer,34,50,0,2,3816,52,0.9615384615384616,1,1,0.9803921568627451
GPS_benchmark,serotype_exact,PfaSTer,35B,63,0,3,3802,66,0.9545454545454546,1,1,0.9767441860465117
GPS_benchmark,serotype_exact,PfaSTer,35C,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,35D,2,0,0,3866,2,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,35F,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,37,4,0,0,3864,4,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,38,59,0,2,3807,61,0.9672131147540983,1,1,0.9833333333333333
GPS_benchmark,serotype_exact,PfaSTer,39,1,0,0,3867,1,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,4,96,0,0,3772,96,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,40,1,0,0,3867,1,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,45,0,0,3,3865,3,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,46,9,0,0,3859,9,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,48,2,0,0,3866,2,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,5,124,0,0,3744,124,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,6A,97,1,11,3759,108,0.8981481481481481,0.9997340425531915,0.9897959183673469,0.941747572815534
GPS_benchmark,serotype_exact,PfaSTer,6B,9,1,116,3742,125,0.072,0.9997328346246327,0.9,0.13333333333333333
GPS_benchmark,serotype_exact,PfaSTer,6C,49,0,0,3819,49,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,6D,0,0,4,3864,4,0,1,NA,NA
GPS_benchmark,serotype_exact,PfaSTer,6E,2,110,0,3756,2,1,0.9715468184169684,0.017857142857142856,0.03508771929824561
GPS_benchmark,serotype_exact,PfaSTer,7B,1,0,1,3866,2,0.5,1,1,0.6666666666666666
GPS_benchmark,serotype_exact,PfaSTer,7C,63,0,0,3805,63,1,1,1,1
GPS_benchmark,serotype_exact,PfaSTer,7F,66,1,0,3801,66,1,0.9997369805365597,0.9850746268656716,0.9924812030075187
GPS_benchmark,serotype_exact,PfaSTer,8,449,0,1,3418,450,0.9977777777777778,1,1,0.9988876529477196
GPS_benchmark,serotype_exact,PfaSTer,9L,9,0,2,3857,11,0.8181818181818182,1,1,0.9
GPS_benchmark,serotype_exact,PfaSTer,9N,126,1,1,3740,127,0.9921259842519685,0.9997326917936381,0.9921259842519685,0.9921259842519685
GPS_benchmark,serotype_exact,PfaSTer,9V,70,0,0,3798,70,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,1,229,0,1,3638,230,0.9956521739130435,1,1,0.9978213507625272
GPS_benchmark,serotype_exact,PneumoCaT,10A,127,0,3,3738,130,0.9769230769230769,1,1,0.9883268482490272
GPS_benchmark,serotype_exact,PneumoCaT,10B,10,0,2,3856,12,0.8333333333333334,1,1,0.9090909090909091
GPS_benchmark,serotype_exact,PneumoCaT,10F,5,0,0,3863,5,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,11,0,0,2,3866,2,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,11A,29,2,15,3822,44,0.6590909090909091,0.9994769874476988,0.9354838709677419,0.7733333333333332
GPS_benchmark,serotype_exact,PneumoCaT,11B,4,1,0,3863,4,1,0.9997412008281573,0.8,0.888888888888889
GPS_benchmark,serotype_exact,PneumoCaT,11C,0,0,1,3867,1,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,11E,0,0,4,3864,4,0,1,NA,NA
GPS_benchmark,serotype_exact,PneumoCaT,12F,257,0,7,3604,264,0.9734848484848485,1,1,0.9865642994241842
GPS_benchmark,serotype_exact,PneumoCaT,13,37,0,3,3828,40,0.925,1,1,0.961038961038961
GPS_benchmark,serotype_exact,PneumoCaT,14,310,0,10,3548,320,0.96875,1,1,0.9841269841269841
GPS_benchmark,serotype_exact,PneumoCaT,15A,75,0,6,3787,81,0.9259259259259259,1,1,0.9615384615384615
GPS_benchmark,serotype_exact,PneumoCaT,15B,7,4,15,3842,22,0.3181818181818182,0.998959958398336,0.6363636363636364,0.4242424242424242
GPS_benchmark,serotype_exact,PneumoCaT,15C,7,10,4,3847,11,0.6363636363636364,0.9974073113819031,0.4117647058823529,0.5
GPS_benchmark,serotype_exact,PneumoCaT,15F,2,0,0,3866,2,1,1,1,1
GPS_benchmark,serotype_exact,PneumoCaT,16F,76,0,4,3788,80,0.95,1,1,0.9743589743589743
GPS_benchmark,serotype_exact,PneumoCaT,17F,61,0,1,3806,62,0.9838709677419355,1,1,0.991869918699187
GPS_benchmark,serotype_exact,PneumoCaT,18A,9,2,0,3857,9,1,0.9994817310183985,0.8181818181818182,0.9
GPS_benchmark,serotype_exact,PneumoCaT,18B,2,29,0,3837,2,1,0.9924987066735644,0.06451612903225806,0.12121212121212122
GPS_benchmark,serotype_exact,PneumoCaT,18C,0,0,35,3833,35,0,1,NA,NA
