benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1
GPS benchmark,serotype_exact,ALLCAPS,22A,2,0,2,3839,4,0.5,1,1,0.9994795732500651,0.6666666666666666
GPS benchmark,serotype_exact,ALLCAPS,22F,225,3,5,3610,230,0.9782608695652174,0.9991696650982563,0.9868421052631579,0.9979182930002602,0.982532751091703
GPS benchmark,serotype_exact,ALLCAPS,23A,11,1,4,3827,15,0.7333333333333333,0.9997387669801463,0.9166666666666666,0.9986989331251627,0.8148148148148148
GPS benchmark,serotype_exact,ALLCAPS,23B,39,3,2,3799,41,0.9512195121951219,0.9992109416096792,0.9285714285714286,0.9986989331251627,0.9397590361445782
GPS benchmark,serotype_exact,ALLCAPS,23F,70,3,12,3758,82,0.8536585365853658,0.9992023398032438,0.958904109589041,0.9960967993754879,0.9032258064516128
GPS benchmark,serotype_exact,ALLCAPS,24A,1,2,0,3840,1,1,0.9994794377928162,0.3333333333333333,0.9994795732500651,0.5
GPS benchmark,serotype_exact,ALLCAPS,24F,3,1,2,3837,5,0.6,0.9997394476289734,0.75,0.9992193598750976,0.6666666666666665
GPS benchmark,serotype_exact,ALLCAPS,25F,6,1,1,3835,7,0.8571428571428571,0.9997393117831074,0.8571428571428571,0.9994795732500651,0.8571428571428571
GPS benchmark,serotype_exact,ALLCAPS,27,3,1,0,3839,3,1,0.9997395833333333,0.75,0.9997397866250325,0.8571428571428571
GPS benchmark,serotype_exact,ALLCAPS,28A,4,0,3,3836,7,0.5714285714285714,1,1,0.9992193598750976,0.7272727272727273
GPS benchmark,serotype_exact,ALLCAPS,28F,4,0,2,3837,6,0.6666666666666666,1,1,0.9994795732500651,0.8
GPS benchmark,serotype_exact,ALLCAPS,29,4,0,1,3838,5,0.8,1,1,0.9997397866250325,0.888888888888889
GPS benchmark,serotype_exact,ALLCAPS,3,5,1,0,3837,5,1,0.9997394476289734,0.8333333333333334,0.9997397866250325,0.9090909090909091
GPS benchmark,serotype_exact,ALLCAPS,31,16,1,0,3826,16,1,0.9997386987196237,0.9411764705882353,0.9997397866250325,0.9696969696969697
GPS benchmark,serotype_exact,ALLCAPS,33B,3,2,1,3837,4,0.75,0.9994790309976557,0.6,0.9992193598750976,0.6666666666666665
GPS benchmark,serotype_exact,ALLCAPS,33D,9,0,0,3834,9,1,1,1,1,1
GPS benchmark,serotype_exact,ALLCAPS,33F,76,2,2,3763,78,0.9743589743589743,0.999468791500664,0.9743589743589743,0.9989591465001301,0.9743589743589743
GPS benchmark,serotype_exact,ALLCAPS,34,51,4,1,3787,52,0.9807692307692307,0.9989448694275916,0.9272727272727272,0.9986989331251627,0.9532710280373831
GPS benchmark,serotype_exact,ALLCAPS,35B,64,3,2,3774,66,0.9696969696969697,0.9992057188244639,0.9552238805970149,0.9986989331251627,0.9624060150375939
GPS benchmark,serotype_exact,ALLCAPS,35C,0,0,1,3842,1,0,1,0,0.9997397866250325,0
GPS benchmark,serotype_exact,ALLCAPS,35D,0,0,2,3841,2,0,1,0,0.9994795732500651,0
GPS benchmark,serotype_exact,ALLCAPS,35F,2,1,2,3838,4,0.5,0.9997395154988278,0.6666666666666666,0.9992193598750976,0.5714285714285715
GPS benchmark,serotype_exact,ALLCAPS,37,3,0,1,3839,4,0.75,1,1,0.9997397866250325,0.8571428571428571
GPS benchmark,serotype_exact,ALLCAPS,38,60,1,1,3781,61,0.9836065573770492,0.9997355896351137,0.9836065573770492,0.9994795732500651,0.9836065573770492
GPS benchmark,serotype_exact,ALLCAPS,39,0,0,1,3842,1,0,1,0,0.9997397866250325,0
GPS benchmark,serotype_exact,ALLCAPS,4,94,6,2,3741,96,0.9791666666666666,0.9983987189751802,0.94,0.9979182930002602,0.9591836734693877
GPS benchmark,serotype_exact,ALLCAPS,40,0,1,1,3841,1,0,0.9997397188964081,0,0.9994795732500651,0
GPS benchmark,serotype_exact,ALLCAPS,45,3,0,0,3840,3,1,1,1,1,1
GPS benchmark,serotype_exact,ALLCAPS,46,8,2,1,3832,9,0.8888888888888888,0.9994783515910276,0.8,0.9992193598750976,0.8421052631578948
GPS benchmark,serotype_exact,ALLCAPS,48,1,0,1,3841,2,0.5,1,1,0.9997397866250325,0.6666666666666666
GPS benchmark,serotype_exact,ALLCAPS,5,124,1,0,3718,124,1,0.9997311105135789,0.992,0.9997397866250325,0.9959839357429718
GPS benchmark,serotype_exact,ALLCAPS,6A,92,13,16,3722,108,0.8518518518518519,0.9965194109772423,0.8761904761904762,0.9924538121259433,0.863849765258216
GPS benchmark,serotype_exact,ALLCAPS,6B,118,14,7,3704,125,0.944,0.9962345346960731,0.8939393939393939,0.994535519125683,0.9182879377431905
GPS benchmark,serotype_exact,ALLCAPS,6C,44,5,5,3789,49,0.8979591836734694,0.9986821296784396,0.8979591836734694,0.9973978662503252,0.8979591836734694
GPS benchmark,serotype_exact,ALLCAPS,6D,1,0,3,3839,4,0.25,1,1,0.9992193598750976,0.4
GPS benchmark,serotype_exact,ALLCAPS,6E,0,0,2,3841,2,0,1,0,0.9994795732500651,0
GPS benchmark,serotype_exact,ALLCAPS,7B,0,2,2,3839,2,0,0.9994793022650351,0,0.9989591465001301,0
GPS benchmark,serotype_exact,ALLCAPS,7C,59,2,4,3778,63,0.9365079365079365,0.9994708994708995,0.9672131147540983,0.9984387197501952,0.9516129032258064
