nn_serotype,auc,threshold,sensitivity,specificity,k
6C,0.9554195430410385,0.051512141441164117,0.9626604434072346,0.9139934835914144,1
12B,0.8391986775734941,5.5689204791264935e-5,0.9992997198879552,0.7518975332068312,1
20A,0.8303935352275282,2.3467991135839306e-5,0.9897610921501706,0.6225497420781135,1
45,0.9078646570739112,0.07934130970159758,0.9423631123919308,0.8501742160278746,1
4,0.9691020377291653,0.01879384698284242,0.9730423620025674,0.9216799909456637,1
19F,0.9680978466493401,0.02615255705462682,0.9579207920792079,0.9426777430143489,1
14,0.9660561342907756,2.3003003326832e-4,1,0.8596962085068361,1
9V,0.9658608968815632,1.3960647850707502e-4,0.9939577039274925,0.8545922701904352,1
15B/C,0.8732552431836802,0.05608597471076254,0.8535376295628662,0.8110574342458401,1
23F,0.9718597190680106,6.66371084653055e-4,0.9813031161473088,0.8805136921624174,1
12F,0.9933758549271755,0.008080245523239545,0.9690721649484536,0.9734537438211993,1
6A,0.9196134058174749,3.7351104185822997e-4,0.9014778325123153,0.8095314948186703,1
20B,0.9602070848310141,0.0010955802981080201,0.9224806201550387,0.8683010839833857,1
6B,0.952578269846479,3.95897335411395e-4,0.9563078703703703,0.8578798586572438,1
3,0.9993553271624185,0.0538616856680626,0.9911504424778761,0.9950003157695303,1
2,0.9869781343400927,0.14430472873782668,0.9743589743589743,0.9624539877300613,1
19A,0.9730816060169664,4.4574388432372e-4,0.9960238568588469,0.8831908516009329,1
18C,0.9562734318731014,5.2454999235751e-4,0.9690721649484536,0.8229052111670622,1
35B/35D,0.9439561707035735,0.17027826257711903,0.9619377162629758,0.9466666666666667,1
23B,0.9812716077917834,0.020716577720105704,0.9653882132834425,0.9575515652152014,1
16F,0.9784547593769578,0.05067266790072261,0.9726688102893891,0.9331563542304813,1
35B,0.960697626010298,3.8373745313369e-4,0.9429429429429429,0.8549827506055638,1
18F,0.941671857480996,0.1383393934688728,1,0.8645108473188703,1
18A,0.9834657431326457,0.13608531549164854,0.9895287958115183,0.9529928982076429,1
6D,0.9102814210110276,0.004927347107674335,0.965034965034965,0.7590844062947067,1
46,0.9439960678428054,6.20096784030125e-4,0.992831541218638,0.8303412361244347,1
35C,0.9114604462474607,0.032082624229239576,0.9827586206896551,0.8005882352941176,1
7C,0.9263150784683117,1.9288360722291564e-5,1,0.8114512038355974,1
38,0.9330484885833905,4.997566732456438e-5,1,0.8009980312274615,1
17F,0.9876330302341169,0.08488229755780491,0.9837962962962963,0.9672282754909873,1
13,0.975089266413253,0.04834534939206653,0.9887005649717514,0.935915551491979,1
5,0.9971883914432194,0.0517859484973211,0.9955654101995566,0.9883609053459501,1
10A,0.9541527694228099,1.61066606097045e-4,1,0.8555606672459916,1
15A,0.9750565013037557,0.030398771645659406,0.9355281207133059,0.955550063550346,1
23A,0.9833711727347,0.002107201145330465,0.9882697947214076,0.9081248947673657,1
22F,0.9858508685187644,7.11258747680515e-4,0.9929577464788732,0.9414866011883108,1
21,0.9484099845845301,0.0012777750674114398,0.997080291970803,0.7885676215856096,1
48,0.9819684529542018,0.17849558447448832,1,0.9457910973997355,1
10B,0.9604134311611868,0.05764793002216029,1,0.9069954631933265,1
15B,0.9187775370581058,8.38085319783688e-5,0.9820359281437125,0.7612849761138735,1
29,0.9705380109554635,0.1774330323994704,0.9114832535885168,0.9235724233983287,1
