Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
1,130,662,0,4003,130,1,0.8580921757770632,0.16414141414141414,0.8619395203336809,0.28199566160520606,0.7694986072423399,50
10A,95,669,4,4070,99,0.9595959595959596,0.858830976999367,0.1243455497382199,0.860892930963208,0.220162224797219,0.6878194207836457,50
10B,6,662,1,4192,7,0.8571428571428571,0.8636176349402555,0.008982035928143712,0.8636083110471097,0.017777777777777778,0.13076923076923078,50
10C,0,626,0,4247,0,0,0.8715370408372666,0,0.8715370408372666,0,0,50
10F,4,632,1,4280,5,0.8,0.8713355048859935,0.006289308176100629,0.8712629652226968,0.0124804992199688,0.09497206703910616,50
10X,0,688,0,4196,0,0,0.8591318591318591,0,0.8591318591318591,0,0,50
11,1,653,3,4242,4,0.25,0.8665985699693565,0.0015290519877675841,0.8660951214533579,0.00303951367781155,0.023676880222841225,50
11A,27,589,2,4152,29,0.9310344827586207,0.8757646066230753,0.04383116883116883,0.8761006289308176,0.08372093023255812,0.425,50
11B,1,671,0,4252,1,1,0.863700995328052,0.001488095238095238,0.8637286758732737,0.002971768202080237,0.024709302325581398,50
11C,1,688,0,4219,1,1,0.8597921336865703,0.001451378809869376,0.8598207008964955,0.002898550724637681,0.024113475177304968,50
11D,0,609,0,4267,0,0,0.8751025430680885,0,0.8751025430680885,0,0,50
11E,1,645,1,4035,2,0.5,0.8621794871794872,0.0015479876160990713,0.8620247757368645,0.00308641975308642,0.02507374631268437,50
12A,0,659,0,4179,0,0,0.8637866887143447,0,0.8637866887143447,0,0,50
12B,0,687,3,4255,3,0,0.8609874544718737,0,0.8604651162790697,0,0,50
12F,58,643,1,4013,59,0.9830508474576272,0.8618986254295533,0.08273894436519258,0.8634146341463415,0.1526315789473684,0.5993920972644378,50
13,25,633,1,4278,26,0.9615384615384616,0.8711056811240073,0.037993920972644375,0.8715819323475795,0.07309941520467834,0.3957169459962756,50
14,203,585,7,3920,210,0.9666666666666667,0.8701442841287459,0.25761421319796957,0.8744432661717921,0.40681362725450904,0.8319672131147542,50
