Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
1,110,474,0,4299,110,1,0.9006913890634821,0.18835616438356165,0.9029285275445423,0.3170028818443804,0.7977815699658704,10
10A,93,508,2,4286,95,0.9789473684210527,0.8940342094284522,0.15474209650582363,0.8956841889957047,0.2672413793103448,0.7454031117397454,10
10B,8,482,0,4431,8,1,0.9018929371056381,0.0163265306122449,0.9020524283682179,0.032128514056224904,0.22006472491909385,10
10C,0,406,0,4565,0,0,0.9183262924964796,0,0.9183262924964796,0,0,10
10F,2,469,1,4487,3,0.6666666666666666,0.905367231638418,0.004246284501061571,0.9052228271828998,0.008438818565400843,0.06551059730250482,10
10X,0,544,0,4375,0,0,0.8894084163447855,0,0.8894084163447855,0,0,10
11,1,479,4,4499,5,0.2,0.9037766171153073,0.0020833333333333333,0.9030704394942806,0.004123711340206186,0.03035714285714286,10
11A,21,484,7,4373,28,0.75,0.9003500102944204,0.041584158415841586,0.8994882292732855,0.07879924953095685,0.37460650577124865,10
11B,2,455,0,4541,2,1,0.9089271417133707,0.00437636761487965,0.9089635854341737,0.008714596949891068,0.06952965235173823,10
11C,1,500,0,4459,1,1,0.8991732204073402,0.001996007984031936,0.8991935483870968,0.003984063745019919,0.03288201160541586,10
11D,0,428,0,4574,0,0,0.9144342263094762,0,0.9144342263094762,0,0,10
11E,1,473,0,4269,1,1,0.9002530577815268,0.002109704641350211,0.9002740881298756,0.004210526315789473,0.03469387755102041,10
12A,0,471,0,4411,0,0,0.9035231462515363,0,0.9035231462515363,0,0,10
12B,0,462,3,4538,3,0,0.9076,0,0.9070557665400759,0,0,10
12F,98,472,24,4214,122,0.8032786885245902,0.8992744344857021,0.17192982456140352,0.8968386023294509,0.2832369942196532,0.6605868358445678,10
13,29,438,0,4529,29,1,0.9118179987920274,0.06209850107066381,0.9123298638911129,0.11693548387096774,0.5295381310418904,10
14,102,435,5,4163,107,0.9532710280373832,0.9053936494127882,0.18994413407821228,0.9064824654622742,0.3167701863354037,0.771009337483326,10
15A,31,452,20,4288,51,0.6078431372549019,0.9046413502109705,0.06418219461697723,0.9014819453141306,0.11610486891385768,0.4056966897613549,10
15B,7,442,18,4432,25,0.28,0.9093147312269183,0.015590200445434299,0.9061032863849765,0.029535864978902954,0.1401648998822144,10
15B-C,0,496,0,4429,0,0,0.8992893401015228,0,0.8992893401015228,0,0,10
15C,3,457,9,4440,12,0.25,0.9066775576883807,0.006521739130434782,0.9050723161540029,0.01271186440677966,0.07822085889570551,10
15F,2,480,1,4451,3,0.6666666666666666,0.9026566619346988,0.004149377593360996,0.9025131738954195,0.008247422680412371,0.06415094339622641,10
16F,46,432,3,4389,49,0.9387755102040817,0.910392034847542,0.09623430962343096,0.9106776180698152,0.17457305502846301,0.6196513470681457,10
17A,0,513,0,4566,0,0,0.8989958653278204,0,0.8989958653278204,0,0,10
17F,31,414,0,4270,31,1,0.9116140051238258,0.0696629213483146,0.9121951219512195,0.13025210084033612,0.5600425079702445,10
18A,5,440,0,4338,5,1,0.9079112599413981,0.011235955056179775,0.9080075266569099,0.02222222222222222,0.1619047619047619,10
18B,0,442,1,4427,1,0,0.909221606079277,0,0.9090349075975359,0,0,10
18C,38,453,0,4325,38,1,0.9051904562578484,0.07739307535641547,0.90593853820598,0.14366729678638943,0.5878070973612374,10
18F,2,462,1,4474,3,0.6666666666666666,0.9064019448946515,0.004310344827586207,0.9062563271917392,0.008565310492505354,0.06640625,10
19A,245,460,2,4211,247,0.9919028340080972,0.9015200171269535,0.3475177304964539,0.9060593737291582,0.5147058823529411,0.8943525875026842,10
19B,7,480,0,4372,7,1,0.9010717230008244,0.014373716632443531,0.9012142416135007,0.028340080971659916,0.19866444073455758,10
19F,94,416,5,4235,99,0.9494949494949495,0.9105568694904321,0.1843137254901961,0.9113684210526316,0.3087027914614121,0.7631327602674307,10
2,4,429,0,4542,4,1,0.9136994568497284,0.009237875288683603,0.9137688442211055,0.018306636155606404,0.13682092555331993,10
20,4,474,0,4475,4,1,0.9042230753687613,0.008368200836820083,0.9043004239854634,0.016597510373443983,0.12546125461254612,10
20A,7,480,1,4419,8,0.875,0.9020208205756277,0.014373716632443531,0.9019767678826167,0.028282828282828278,0.19349593495934955,10
20B,17,465,0,4510,17,1,0.9065326633165829,0.035269709543568464,0.9068509615384616,0.06813627254509018,0.383289124668435,10
20C,0,506,0,4376,0,0,0.8963539532978287,0,0.8963539532978287,0,0,10
21,28,487,0,4543,28,1,0.9031809145129225,0.05436893203883495,0.9037168841439304,0.10313075506445672,0.4942886812045691,10
22A,2,473,0,4422,2,1,0.903370786516854,0.004210526315789474,0.9034102511741883,0.008385744234800839,0.0670611439842209,10
22F,168,523,0,4132,168,1,0.8876476906552094,0.24312590448625182,0.8915612689197595,0.3911525029103609,0.8452204794317846,10
23A,53,451,1,4378,54,0.9814814814814815,0.9066059225512528,0.10515873015873016,0.9074339545361458,0.1899641577060932,0.658625730994152,10
23B,66,443,14,4268,80,0.825,0.9059647633198896,0.12966601178781925,0.9046128156960969,0.22410865874363325,0.6271660145332588,10
23F,109,424,0,4361,109,1,0.9113897596656217,0.2045028142589118,0.913363302002452,0.3395638629283489,0.8137900746596398,10
24,0,467,0,4522,0,0,0.906394066947284,0,0.906394066947284,0,0,10
24A,0,452,1,4393,1,0,0.9067079463364293,0,0.9065208419314899,0,0,10
24F,33,480,2,4367,35,0.9428571428571428,0.9009696719620384,0.06432748538011696,0.9012699713232282,0.12043795620437955,0.5228331780055917,10
25A,1,498,0,4543,1,1,0.9012100773656021,0.002004008016032064,0.9012296707655693,0.004,0.033009708737864074,10
25F,9,479,0,4468,9,1,0.9031736405902567,0.018442622950819672,0.9033494753833737,0.03621730382293763,0.24208860759493672,10
27,5,483,0,4448,5,1,0.9020482660717907,0.010245901639344262,0.9021474878444085,0.020283975659229205,0.14964788732394366,10
28A,1,415,4,4491,5,0.2,0.9154097024052181,0.002403846153846154,0.9146813276318468,0.004750593824228029,0.034274193548387094,10
28F,0,425,6,4390,6,0,0.9117341640706127,0,0.9105994606928023,0,0,10
29,6,448,0,4577,6,1,0.9108457711442786,0.013215859030837005,0.9109520969986086,0.02608695652173913,0.18545454545454543,10
3,22,469,0,4186,22,1,0.8992481203007519,0.04480651731160896,0.8997220440453282,0.08576998050682261,0.44365361803084225,10
31,21,528,0,4334,21,1,0.8914027149321267,0.03825136612021858,0.8918697522015154,0.07368421052631578,0.4033898305084746,10
32,0,453,0,4333,0,0,0.9053489343919766,0,0.9053489343919766,0,0,10
32F,0,459,0,4453,0,0,0.9065553745928339,0,0.9065553745928339,0,0,10
33,0,427,0,4478,0,0,0.9129459734964323,0,0.9129459734964323,0,0,10
33A,0,475,0,4407,0,0,0.9027038099139697,0,0.9027038099139697,0,0,10
33A-33F,0,473,0,4517,0,0,0.9052104208416833,0,0.9052104208416833,0,0,10
