held_out_serotype,held_out_genogroup,n_query,genogroup_hit_rate,modal_nn_serotype,modal_nn_serotype_frac,modal_nn_genogroup,modal_nn_genogroup_frac,median_nn_distance
31,31,39,0.0,10A,0.28205128205128205,10,0.28205128205128205,0.2729333
3,3,56,0.0,19F,0.39285714285714285,19F,0.39285714285714285,0.1819331
32F,32,2,0.0,5,0.5,5,0.5,0.21495547999999998
33G,33G,1,0.0,13,1.0,13,1.0,0.071190834
34,34,41,0.0,10F,0.3170731707317073,10,0.34146341463414637,0.2228114
33D,33B_33D,19,0.0,6A,0.3157894736842105,6,0.3157894736842105,0.15066546
41F,41F,1,0.0,17A,1.0,17A,1.0,0.38334364
39X,10D,1,0.0,31,1.0,31,1.0,0.29455018
35F,35F,29,0.0,29,0.2413793103448276,29,0.2413793103448276,0.2724893
36,36,5,0.0,45,0.6,45,0.6,0.34938693
39,39,6,0.0,7B,0.5,7B_7C_40,0.5,0.21148889999999998
48,48,12,0.0,24F,0.16666666666666666,23,0.25,0.25925756
45,45,11,0.0,6A,0.45454545454545453,6,0.45454545454545453,0.24206507
4,4,64,0.0,19A,0.28125,19A,0.28125,0.151773455
5,5,43,0.0,10X,0.3488372093023256,33G,0.3488372093023256,0.21508801
6E,6E,18,0.0,6B,0.9444444444444444,6,0.9444444444444444,0.0
8,8,68,0.0,34,0.36764705882352944,34,0.36764705882352944,0.180337785
7F,7A_7F,68,0.0,8,0.6029411764705882,8,0.6029411764705882,0.07070747050000001
Serogroup 33,Serogroup 33,19,0.0,33F,0.9473684210526315,33A_33F_37,0.9473684210526315,1.7881393e-07
