fold,fold_safe_name,genogroup,n_id,n_novel,k,auroc,bal_acc,bal_acc_threshold
2,2,2,54018,11,20,0.9578170912726062,0.9475174941686104,0.13960283994674683
2,2,2,54018,11,50,0.9388200566141254,0.9204802103002703,0.14373916387557983
2,2,2,54018,11,100,0.9455652829528205,0.9201747565626273,0.22151994705200195
2,2,2,54018,11,200,0.9414488099926288,0.8964419267651523,0.23067474365234375
2,2,2,54018,11,500,0.9568308880204914,0.9728516420452442,0.5579465627670288
2,2,2,54018,11,1000,0.8609495488035974,0.915343033803547,0.6216824054718018
20,20,20,54071,11,1,0.671164680781666,0.6872016759109656,1.1920928955078125e-07
20,20,20,54071,11,5,0.8470210043696756,0.8432338961735496,4.088878631591797e-05
20,20,20,54071,11,10,0.8151462471060777,0.8102444429126014,0.0008252859115600586
20,20,20,54071,11,20,0.8178615322278284,0.8083487872006672,0.004946291446685791
20,20,20,54071,11,50,0.8576518079763813,0.8738510476965471,0.03870987892150879
20,20,20,54071,11,100,0.8942165267552258,0.8886968480835804,0.2975161671638489
20,20,20,54071,11,200,0.8985878836075799,0.8908421755234279,0.3591684103012085
20,20,20,54071,11,500,0.9501396312256108,0.9523311941706275,0.5108945369720459
20,20,20,54071,11,1000,0.9221276402575066,0.8806939024615783,0.5868984460830688
20A,20A,20,53956,28,1,0.8939334166463679,0.8477741122396026,0.0023177266120910645
20A,20A,20,53956,28,5,0.9360927687110134,0.90911112758544,0.0029295682907104492
20A,20A,20,53956,28,10,0.9151742689810746,0.883423530283935,0.015943825244903564
20A,20A,20,53956,28,20,0.8941882539211844,0.8550856253243384,0.017100751399993896
20A,20A,20,53956,28,50,0.8905295187613187,0.8243105493364964,0.06290984153747559
20A,20A,20,53956,28,100,0.9128211611577688,0.8679294239750908,0.08073914051055908
20A,20A,20,53956,28,200,0.9118799180284465,0.8682722959448439,0.15933799743652344
20A,20A,20,53956,28,500,0.9530384546138123,0.9450200163095857,0.41205132007598877
20A,20A,20,53956,28,1000,0.8689967619118223,0.8434001779227519,0.4164738059043884
20B,20B,20,53771,32,1,0.8484164907663981,0.8243904125829908,0.0005535483360290527
20B,20B,20,53771,32,5,0.8983495982964795,0.8996671068047832,0.003427565097808838
20B,20B,20,53771,32,10,0.9098747466106266,0.9049673615889606,0.015420317649841309
20B,20B,20,53771,32,20,0.9165459773855796,0.9130107306912648,0.05059480667114258
20B,20B,20,53771,32,50,0.8940384919380335,0.8729798590318201,0.05350947380065918
20B,20B,20,53771,32,100,0.8697944756467241,0.8818694091610719,0.15197324752807617
