k,n_folds,auroc_mean,auroc_median,auroc_p25,auroc_p75,auroc_min,auroc_max,frac_folds_above_0.9
1,98,0.8702835667486567,0.9416540249327177,0.8066963861139962,0.9802731664249243,0.27035168450037883,0.9993392477589872,0.6020408163265306
5,98,0.8884153445128399,0.9376644151109644,0.8567537719609485,0.9679410068679577,0.2073053538097614,0.9967609278255244,0.6224489795918368
10,98,0.8842448210298385,0.9306664008910617,0.8439554158436989,0.9650203177767417,0.49112019751624547,0.9987940116440255,0.6224489795918368
20,98,0.8760407973399614,0.9197538156638865,0.8644184450564858,0.9580554862185376,0.45041896139511267,0.9989187690601609,0.6428571428571429
50,98,0.8661627539422331,0.9127198788101187,0.8289145175559633,0.9546766621419582,0.4147234710889912,0.9962297626968286,0.5306122448979592
100,98,0.8569846883182922,0.8995284594114994,0.8129392804050553,0.9516552206213117,0.3837279341173955,0.9977267686848525,0.5
200,98,0.8474950508263283,0.8990170711178356,0.7765858041725295,0.9476815480124585,0.3146599484829609,0.9927182671693648,0.4897959183673469
500,98,0.8388749732334019,0.8944109694968301,0.7840051266790802,0.9390973910044851,0.387803209584381,0.9926997856139573,0.4897959183673469
1000,98,0.7798475992831199,0.796386177647095,0.739217687673504,0.8559972433269032,0.286893580831238,0.9766029313913943,0.11224489795918367
